image,precision,taxa_iou
12.png,0.00033196641280999804,0.4
image,precision,taxa_iou
16.png,0.00014688601645123384,0.4
image,precision,taxa_iou
24.png,0.0004079967360261118,0.4
image,precision,taxa_iou
30.png,0.00046928916494133887,0.4
image,precision,taxa_iou
32.png,0.00041978003526152295,0.4
image,precision,taxa_iou
34.png,0.0002129897099346388,0.4
image,precision,taxa_iou
48.png,2.624396388830569e-05,0.4
image,precision,taxa_iou
5.png,0.00023273597765734614,0.4
image,precision,taxa_iou
56.png,0.00018201674554058973,0.4
image,precision,taxa_iou
57.png,0.00019069412662090009,0.4
image,precision,taxa_iou
58.png,0.0001160092807424594,0.4
image,precision,taxa_iou
65.png,0.0002121499525782459,0.4
image,precision,taxa_iou
69.png,0.0002288329519450801,0.4
image,precision,taxa_iou
7.png,0.0002490986561783022,0.4
image,precision,taxa_iou
73.png,0.00021380247705441273,0.4
image,precision,taxa_iou
12.png,0.00011716461628588167,0.5
image,precision,taxa_iou
16.png,4.005982266851832e-05,0.5
image,precision,taxa_iou
24.png,0.00015692182154850454,0.5
image,precision,taxa_iou
30.png,0.00022084195997239476,0.5
image,precision,taxa_iou
32.png,0.00013992667842050767,0.5
image,precision,taxa_iou
34.png,6.655928435457462e-05,0.5
image,precision,taxa_iou
48.png,1.7495975925537128e-05,0.5
image,precision,taxa_iou
5.png,6.649599361638461e-05,0.5
image,precision,taxa_iou
56.png,5.600515247402761e-05,0.5
image,precision,taxa_iou
57.png,5.0851767098906685e-05,0.5
image,precision,taxa_iou
58.png,2.5779840164990976e-05,0.5
image,precision,taxa_iou
65.png,6.239704487595467e-05,0.5
image,precision,taxa_iou
69.png,9.807126511932004e-05,0.5
image,precision,taxa_iou
7.png,6.555227794165847e-05,0.5
image,precision,taxa_iou
73.png,7.635802751943312e-05,0.5
image,precision,taxa_iou
12.png,0.00011716461628588167,0.6
image,precision,taxa_iou
16.png,0.0,0.6
image,precision,taxa_iou
24.png,1.5692182154850453e-05,0.6
image,precision,taxa_iou
30.png,6.901311249137337e-05,0.6
image,precision,taxa_iou
32.png,2.7985335684101532e-05,0.6
image,precision,taxa_iou
34.png,0.0,0.6
image,precision,taxa_iou
48.png,0.0,0.6
image,precision,taxa_iou
5.png,3.3247996808192306e-05,0.6
image,precision,taxa_iou
56.png,1.4001288118506902e-05,0.6
image,precision,taxa_iou
57.png,1.2712941774726671e-05,0.6
image,precision,taxa_iou
58.png,2.5779840164990976e-05,0.6
image,precision,taxa_iou
65.png,1.2479408975190934e-05,0.6
image,precision,taxa_iou
69.png,1.6345210853220006e-05,0.6
image,precision,taxa_iou
7.png,1.3110455588331695e-05,0.6
image,precision,taxa_iou
73.png,3.054321100777325e-05,0.6
image,precision,taxa_iou
12.png,3.905487209529389e-05,0.7
image,precision,taxa_iou
16.png,0.0,0.7
image,precision,taxa_iou
24.png,0.0,0.7
image,precision,taxa_iou
30.png,0.0,0.7
image,precision,taxa_iou
32.png,0.0,0.7
image,precision,taxa_iou
34.png,0.0,0.7
image,precision,taxa_iou
48.png,0.0,0.7
image,precision,taxa_iou
5.png,0.0,0.7
image,precision,taxa_iou
56.png,0.0,0.7
image,precision,taxa_iou
57.png,0.0,0.7
image,precision,taxa_iou
58.png,0.0,0.7
image,precision,taxa_iou
65.png,1.2479408975190934e-05,0.7
image,precision,taxa_iou
69.png,0.0,0.7
image,precision,taxa_iou
7.png,0.0,0.7
image,precision,taxa_iou
73.png,0.0,0.7
image,precision,taxa_iou
12.png,0.0,0.8
image,precision,taxa_iou
16.png,0.0,0.8
image,precision,taxa_iou
24.png,0.0,0.8
image,precision,taxa_iou
30.png,0.0,0.8
image,precision,taxa_iou
32.png,0.0,0.8
image,precision,taxa_iou
34.png,0.0,0.8
image,precision,taxa_iou
48.png,0.0,0.8
image,precision,taxa_iou
5.png,0.0,0.8
image,precision,taxa_iou
56.png,0.0,0.8
image,precision,taxa_iou
57.png,0.0,0.8
image,precision,taxa_iou
58.png,0.0,0.8
image,precision,taxa_iou
65.png,0.0,0.8
image,precision,taxa_iou
69.png,0.0,0.8
image,precision,taxa_iou
7.png,0.0,0.8
image,precision,taxa_iou
73.png,0.0,0.8
