Imagem,Tipo,Numero,x,y,w,h,area,perimetro,aspect ratio,extent,solidity
1.tif,NC,NC1,715,749,3,1,0.0,4.0,3.0,0.0,0
1.tif,NC,NC2,635,749,4,1,0.0,6.0,4.0,0.0,0
1.tif,NC,NC3,672,748,4,2,2.0,6.828427076339722,2.0,0.25,1.0
1.tif,NC,NC4,490,748,4,2,3.0,8.0,2.0,0.375,1.0
1.tif,NC,NC5,233,748,3,2,2.0,6.0,1.5,0.3333333333333333,1.0
1.tif,NC,NC6,715,746,5,3,2.0,9.656854152679443,1.6666666666666667,0.13333333333333333,0.5714285714285714
1.tif,NC,NC7,619,744,3,3,4.0,8.0,1.0,0.4444444444444444,1.0
1.tif,NC,NC8,535,741,4,4,8.0,10.828427076339722,1.0,0.5,1.0
1.tif,NC,NC9,810,740,3,3,1.5,6.2426406145095825,1.0,0.16666666666666666,0.75
1.tif,NC,NC10,687,740,4,4,7.5,10.242640614509583,1.0,0.46875,1.0
1.tif,NC,NC11,743,739,7,7,22.0,18.14213514328003,1.0,0.4489795918367347,0.9777777777777777
1.tif,NC,NC12,439,739,4,3,5.0,8.828427076339722,1.3333333333333333,0.4166666666666667,1.0
1.tif,NC,NC13,652,738,1,3,0.0,4.0,0.3333333333333333,0.0,0
1.tif,NC,NC14,100,734,1,3,0.0,4.0,0.3333333333333333,0.0,0
1.tif,NC,NC15,942,730,6,4,5.5,13.899494767189026,1.5,0.22916666666666666,0.6111111111111112
1.tif,NC,NC16,683,726,6,6,15.5,15.899494647979736,1.0,0.4305555555555556,0.9393939393939394
1.tif,NC,NC17,659,723,4,4,7.0,9.656854152679443,1.0,0.4375,1.0
1.tif,NC,NC18,421,722,4,5,10.5,12.242640614509583,0.8,0.525,1.0
1.tif,NC,NC19,357,722,3,2,2.0,6.0,1.5,0.3333333333333333,1.0
1.tif,NC,NC20,758,721,3,3,3.0,6.828427076339722,1.0,0.3333333333333333,1.0
1.tif,NC,NC21,628,720,4,3,5.0,8.828427076339722,1.3333333333333333,0.4166666666666667,1.0
1.tif,NC,NC22,47,720,4,3,3.0,8.828427076339722,1.3333333333333333,0.25,0.8571428571428571
1.tif,NC,NC23,481,717,3,2,2.0,6.0,1.5,0.3333333333333333,1.0
1.tif,NC,NC24,205,717,8,9,38.5,24.727921843528748,0.8888888888888888,0.5347222222222222,0.9166666666666666
1.tif,NC,NC25,615,716,4,4,6.0,9.656854152679443,1.0,0.375,0.9230769230769231
1.tif,NC,NC26,769,715,6,5,12.5,13.899494767189026,1.2,0.4166666666666667,0.9615384615384616
1.tif,NC,NC27,649,715,2,2,1.0,4.0,1.0,0.25,1.0
1.tif,NC,NC28,805,711,3,2,1.5,5.414213538169861,1.5,0.25,1.0
1.tif,NC,NC29,751,711,5,4,10.5,12.242640614509583,1.25,0.525,1.0
1.tif,NC,NC30,482,705,2,3,2.0,6.0,0.6666666666666666,0.3333333333333333,1.0
1.tif,NC,NC31,126,704,1,2,0.0,2.0,0.5,0.0,0
1.tif,NC,NC32,24,702,5,4,10.0,11.656854152679443,1.25,0.5,1.0
1.tif,NC,NC33,739,701,5,6,13.0,14.485281229019165,0.8333333333333334,0.43333333333333335,0.9285714285714286
1.tif,NC,NC34,239,701,7,7,16.5,19.899494767189026,1.0,0.336734693877551,0.825
1.tif,NC,NC35,691,696,5,5,14.0,14.828427076339722,1.0,0.56,0.9655172413793104
1.tif,NC,NC36,514,692,2,3,2.0,6.0,0.6666666666666666,0.3333333333333333,1.0
